﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4UEo1b0wWrtHMC8bVqPiH8","Nightmare","Avenged Sevenfold","Nightmare","1","1","374453","spotify:user:","2010-10-17T20:18:40Z"
"spotify:track:0jqblvsI9LBY4irmLVqqEO","Welcome to the Family","Avenged Sevenfold","Nightmare","1","2","245573","spotify:user:","2010-10-17T20:18:40Z"
"spotify:track:7pS3O75hJnthHr64tlpqPn","Danger Line","Avenged Sevenfold","Nightmare","1","3","328386","spotify:user:","2010-10-17T20:18:40Z"
"spotify:track:4veeNpXDK1YRHMTJ1Cppsg","Buried Alive","Avenged Sevenfold","Nightmare","1","4","404386","spotify:user:","2010-10-17T20:18:40Z"
"spotify:track:7Hr1Ignop7cymbE3FbOtXa","So Far Away","Avenged Sevenfold","Nightmare","1","6","326813","spotify:user:","2010-10-17T20:18:40Z"
"spotify:track:031uTUhyy6xmDJqmeWJBi9","God Hates Us","Avenged Sevenfold","Nightmare","1","7","319186","spotify:user:","2010-10-17T20:18:40Z"
"spotify:track:4H2x38N2IZAkZZM69WD1SH","Victim","Avenged Sevenfold","Nightmare","1","8","449720","spotify:user:","2010-10-17T20:18:40Z"
"spotify:track:1I5RmSqq96UQnjT9EKGMso","Tonight the World Dies","Avenged Sevenfold","Nightmare","1","9","281226","spotify:user:","2010-10-17T20:18:40Z"
"spotify:track:3b3eu3uMp1b9xPOHbfSwBi","Fiction","Avenged Sevenfold","Nightmare","1","10","307986","spotify:user:","2010-10-17T20:18:40Z"
"spotify:track:2J8p6qi1p36h0jTH1AQxnH","Hours Passed In Exile","Dark Tranquillity","Damage Done","1","2","285573","spotify:user:","2010-10-17T20:23:13Z"
"spotify:track:5Q087ynLRAkAs11ZJlFXHH","The Treason Wall","Dark Tranquillity","Damage Done","1","5","210733","spotify:user:","2010-10-17T20:23:13Z"
"spotify:track:3WMPdtV4y0KClmbMctAqDb","The Wonders At Your Feet","Dark Tranquillity","Haven","1","1","181765","spotify:user:","2010-10-17T20:23:13Z"
"spotify:track:0vRL66f6LlOEYBYq5LxxAW","Not Built To Last","Dark Tranquillity","Haven","1","2","217849","spotify:user:","2010-10-17T20:23:13Z"
"spotify:track:4Li4wig8J1fWU3OzPcfD6p","Indifferent Suns","Dark Tranquillity","Haven","1","3","215202","spotify:user:","2010-10-17T20:23:13Z"
"spotify:track:2OVehnWX4bPYCcA75dnOQO","Undo Control","Dark Tranquillity","Projector","1","3","310404","spotify:user:","2010-10-17T20:23:13Z"
"spotify:track:1gveXEHVQKR6pUZfFWfvyA","Dream Oblivion","Dark Tranquillity","We Are The Void","1","2","228573","spotify:user:","2010-10-17T20:23:13Z"
"spotify:track:3iLnNfEWYZhmyJxRelWLhY","In My Absence","Dark Tranquillity","We Are The Void","1","4","286706","spotify:user:","2010-10-17T20:23:13Z"
"spotify:track:5Xm404nY5KkgTYaZAjlklc","Iridium","Dark Tranquillity","We Are The Void","1","11","403280","spotify:user:","2010-10-17T20:23:13Z"
"spotify:track:0iORSSGypK4Eqo2GHQiiK7","Umbrella","Lillasyster","Hjärndöd Kärlek","1","11","255680","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:6tE9U3RmpgRPdCu8KFrPvI","Nu Har Jag Fått Nog","Lillasyster","Hjärndöd Kärlek","1","7","197066","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:2NIwbALGocy3PMDHcIEv0b","Kräkas","Lillasyster","Hjärndöd Kärlek","1","2","203426","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:75T9hC3O6ZceWMAZOG9exi","Hårdrock","Lillasyster","Hjärndöd Kärlek","1","4","209026","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:6FJw7wXb6MM9uhx6zsW8KJ","Berätta Det För Lina","Lillasyster","Hjärndöd Kärlek","1","12","228520","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:0gEr92PjJMdj3HChFmihAK","Andreas","Lillasyster","Det här är inte musik, det här är kärlek","1","4","224160","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:536TXbBbc8bSVj8nmgetpa","Barn Utan Ben","Lillasyster","Hjärndöd Kärlek","1","5","252506","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:3FHcIiGu7qTVtBlw74a1Pl","Jag Är Här Nu","Lillasyster","Hjärndöd Kärlek","1","3","239013","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:4g2xUXCxMD9Hs24cb1GDQS","Bombardier","Lillasyster","Det här är inte musik, det här är kärlek","1","2","211373","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:2V6AdiM5Q49najvExl0kVj","Tid för en idiot","Lillasyster","Det här är inte musik, det här är kärlek","1","3","183853","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:6cFucgeTLxhGVuNqqVYZh1","My & Johannes","Lillasyster","Det här är inte musik, det här är kärlek","1","6","272413","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:0ZZ9iC36AETkWlO0N3THvk","Rad efter rad","Lillasyster","Det här är inte musik, det här är kärlek","1","7","203320","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:3EZ2GYekBGsdbmbdRvorBt","Warbuddies","Lillasyster","Hjärndöd Kärlek","1","1","165840","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:38LKO3jRTJxqi1PX6TQUNZ","Finland","Lillasyster","Det här är inte musik, det här är kärlek","1","10","274866","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:1zUnkE1QGUsfVCKSv2ysxe","Singularitet","Lillasyster","Det här är inte musik, det här är kärlek","1","8","250146","spotify:user:","2010-10-17T20:24:00Z"
"spotify:track:00MYbj8WKfcv3Bz6qFhJKn","Papercut","Linkin Park","Hybrid Theory","1","1","184866","spotify:user:","2010-10-17T20:24:21Z"
"spotify:track:61fUybL3XS40gcffnnNPoX","One Step Closer","Linkin Park","Hybrid Theory","1","2","157333","spotify:user:","2010-10-17T20:24:21Z"
"spotify:track:5smQEb4bp9kYX0xgiGh4Fn","With You","Linkin Park","Hybrid Theory","1","3","203266","spotify:user:","2010-10-17T20:24:21Z"
"spotify:track:04mlpyRplis2yvf18EwaeN","Points of Authority","Linkin Park","Hybrid Theory","1","4","200240","spotify:user:","2010-10-17T20:24:21Z"
"spotify:track:5Za8bsHPb08SZXm0bvbDXy","Crawling","Linkin Park","Hybrid Theory","1","5","208960","spotify:user:","2010-10-17T20:24:21Z"
"spotify:track:2xQQsFEm7Enrk6fk2KI5C2","Runaway","Linkin Park","Hybrid Theory","1","6","183973","spotify:user:","2010-10-17T20:24:21Z"
"spotify:track:0YvLVwdVZlnSjqfetfZcEi","By Myself","Linkin Park","Hybrid Theory","1","7","189800","spotify:user:","2010-10-17T20:24:21Z"
"spotify:track:3tSmXSxaAnU1EPGKa6NytH","In the End","Linkin Park","Hybrid Theory","1","8","216800","spotify:user:","2010-10-17T20:24:21Z"
"spotify:track:4rbc5CkMyU3F2kwiZLO2z6","A Place for My Head","Linkin Park","Hybrid Theory","1","9","184640","spotify:user:","2010-10-17T20:24:21Z"
"spotify:track:5kBkdxl6uRdwtsGTONJa0z","Forgotten","Linkin Park","Hybrid Theory","1","10","194426","spotify:user:","2010-10-17T20:24:21Z"
"spotify:track:7MfJVe7of8qWEMcCwQnAvS","Pushing Me Away","Linkin Park","Hybrid Theory","1","12","191440","spotify:user:","2010-10-17T20:24:21Z"
"spotify:track:27gUeiai56GKF6TxvmPJut","Don't Stay","Linkin Park","Meteora (Bonus Edition)","1","2","187933","spotify:user:","2010-10-17T20:24:25Z"
"spotify:track:1d5UuboIPRMD4HaU3yycKC","Somewhere I Belong","Linkin Park","Meteora (Bonus Edition)","1","3","213933","spotify:user:","2010-10-17T20:24:25Z"
"spotify:track:3BmjRmFTESgWZLPSVGp8aG","Lying from You","Linkin Park","Meteora (Bonus Edition)","1","4","175373","spotify:user:","2010-10-17T20:24:25Z"
"spotify:track:5VYbLzAplnqPaGNpcf8qhZ","Hit the Floor","Linkin Park","Meteora (Bonus Edition)","1","5","164213","spotify:user:","2010-10-17T20:24:25Z"
"spotify:track:388kF2viiv8i9aEWIThyGT","Easier to Run","Linkin Park","Meteora (Bonus Edition)","1","6","204173","spotify:user:","2010-10-17T20:24:25Z"
"spotify:track:2uxL6E8Yq0Psc1V9uBtC4F","Faint","Linkin Park","Meteora (Bonus Edition)","1","7","162600","spotify:user:","2010-10-17T20:24:25Z"
"spotify:track:3yE7LC2ZyNWsLRSXHb0J06","Figure.09","Linkin Park","Meteora (Bonus Edition)","1","8","197506","spotify:user:","2010-10-17T20:24:25Z"
"spotify:track:4HcDu9IGRCvSTJE4yW5Ugv","Breaking the Habit","Linkin Park","Meteora (Bonus Edition)","1","9","196906","spotify:user:","2010-10-17T20:24:25Z"
"spotify:track:1h4qhOmbd7eQLeMNOg8nWQ","From the Inside","Linkin Park","Meteora (Bonus Edition)","1","10","173933","spotify:user:","2010-10-17T20:24:25Z"
"spotify:track:5KNJ2qBD92lNfdcdcHmzEY","Session","Linkin Park","Meteora (Bonus Edition)","1","12","143800","spotify:user:","2010-10-17T20:24:25Z"
"spotify:track:0kO3njY9N1Rxgv27Ha1lLh","Numb","Linkin Park","Meteora (Bonus Edition)","1","13","185586","spotify:user:","2010-10-17T20:24:25Z"
"spotify:track:3d4ejmkjPkmwPNC7aXTqvL","Hellhounds on My Trail","Children Of Bodom","Blooddrunk (International Edition)","1","1","238133","spotify:user:","2010-10-17T20:25:39Z"
"spotify:track:2p0rFdcynWE436aYe5Mtvo","Blooddrunk","Children Of Bodom","Blooddrunk (International Edition)","1","2","245053","spotify:user:","2010-10-17T20:25:39Z"
"spotify:track:5zbOxd7zsQdsD20MFLJop2","Lobodomy","Children Of Bodom","Blooddrunk (International Edition)","1","3","263640","spotify:user:","2010-10-17T20:25:39Z"
"spotify:track:3nh9WnkbaIsOVvSQTz7nZF","One Day You Will Cry","Children Of Bodom","Blooddrunk (International Edition)","1","4","245306","spotify:user:","2010-10-17T20:25:39Z"
"spotify:track:2Ae4hn6F1s4JCUzyaa8bq9","Smile Pretty for the Devil","Children Of Bodom","Blooddrunk (International Edition)","1","5","233960","spotify:user:","2010-10-17T20:25:39Z"
"spotify:track:7ePV1acpi7GKENNQwDshZC","Tie My Rope","Children Of Bodom","Blooddrunk (International Edition)","1","6","254066","spotify:user:","2010-10-17T20:25:39Z"
"spotify:track:1sOZv8QMT7zE6R9qWLWwNl","Done with Everything, Die for Nothing","Children Of Bodom","Blooddrunk (International Edition)","1","7","209253","spotify:user:","2010-10-17T20:25:39Z"
"spotify:track:3Fj0v2h6qQnHqI7QuyTpSK","Banned from Heaven","Children Of Bodom","Blooddrunk (International Edition)","1","8","304599","spotify:user:","2010-10-17T20:25:39Z"
"spotify:track:35q13KmtPgOQYOXuy5NAUx","Roadkill Morning","Children Of Bodom","Blooddrunk (International Edition)","1","9","213280","spotify:user:","2010-10-17T20:25:39Z"
"spotify:track:5EuhVe7lP0ANbR81aYHfU1","Ghostriders In The Sky","Children Of Bodom","Blooddrunk (International Edition)","1","10","216893","spotify:user:","2010-10-17T20:25:39Z"
"spotify:track:3L0TgsiacgOKUBEXMNIQlL","Primordial Breath","Eluveitie","Slania","1","2","259040","spotify:user:","2010-10-17T20:27:20Z"
"spotify:track:0K2OeJUFevovQR3ncNcneB","Inis Mona","Eluveitie","Slania","1","3","249240","spotify:user:","2010-10-17T20:27:20Z"
"spotify:track:05pSk5r292sDlEkA9Y3l6g","Grey Sublime Archon","Eluveitie","Slania","1","4","261373","spotify:user:","2010-10-17T20:27:20Z"
"spotify:track:6wvxdaqxKxGyKKouP8iNQg","Anagantios","Eluveitie","Slania","1","5","205920","spotify:user:","2010-10-17T20:27:20Z"
"spotify:track:2ptpJtEJa7FrlFZJUAaWIm","Bloodstained Ground","Eluveitie","Slania","1","6","200680","spotify:user:","2010-10-17T20:27:20Z"
"spotify:track:7dLroKEFZ65dH4YsYVI5Mb","The Somber Lay","Eluveitie","Slania","1","7","240546","spotify:user:","2010-10-17T20:27:20Z"
"spotify:track:2xer6mQn8Hz31qQU605hhN","Slanias Song","Eluveitie","Slania","1","8","340800","spotify:user:","2010-10-17T20:27:20Z"
"spotify:track:4772i5GHHoTgkt3j7kKPmx","Tarvos","Eluveitie","Slania","1","10","278986","spotify:user:","2010-10-17T20:27:20Z"
"spotify:track:4V8bFgRh7vEflYsYrhUqJA","Calling The Rain","Eluveitie","Slania","1","11","306173","spotify:user:","2010-10-17T20:27:20Z"
"spotify:track:4rB0Fkeg3RTUhiMNSCLk62","Elembivos","Eluveitie","Slania","1","12","391506","spotify:user:","2010-10-17T20:27:20Z"
"spotify:track:7jUnwF51o95iu2zPnpnEdW","Going Under","Evanescence","Fallen","1","1","214946","spotify:user:","2010-10-17T20:27:54Z"
"spotify:track:4CDoeHIz44HzXq3j6LkZq6","Bring Me To Life","Evanescence","Fallen","1","2","237293","spotify:user:","2010-10-17T20:27:54Z"
"spotify:track:3uyL7AEiz5Z4de6yxl576g","Everybody's Fool","Evanescence","Fallen","1","3","195880","spotify:user:","2010-10-17T20:27:54Z"
"spotify:track:5q6hICivqujiYDVCYiLtEx","Haunted","Evanescence","Fallen","1","5","186653","spotify:user:","2010-10-17T20:27:54Z"
"spotify:track:4164KCksTtqRXX9La6SwXc","Tourniquet","Evanescence","Fallen","1","6","278066","spotify:user:","2010-10-17T20:27:54Z"
"spotify:track:5jZmdXramflQbei2PXgDNq","Imaginary","Evanescence","Fallen","1","7","257519","spotify:user:","2010-10-17T20:27:54Z"
"spotify:track:6TflV6kbJoWzVTJKKHdkHH","Taking Over Me","Evanescence","Fallen","1","8","229973","spotify:user:","2010-10-17T20:27:54Z"
"spotify:track:5Awq2uL0Dj4vqv1H22m8qK","My Last Breath","Evanescence","Fallen","1","10","247333","spotify:user:","2010-10-17T20:27:54Z"
"spotify:track:5PixxOzrBjfFtbGzDqXebU","Numbered Days","Killswitch Engage","Alive or Just Breathing (Topshelf Edition)","1","1","215226","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:2zfX6pW0OeSqyIBROrRHDd","Self Revolution","Killswitch Engage","Alive or Just Breathing (Topshelf Edition)","1","2","188920","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:03ZUGyhlurcpeRdBO764Ar","Fixation on the Darkness","Killswitch Engage","Alive or Just Breathing (Topshelf Edition)","1","3","217973","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:2Ps4FrDiR6JcJfSZbXAPBz","My Last Serenade","Killswitch Engage","Alive or Just Breathing (Topshelf Edition)","1","4","253760","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:1Xp4ErFLJWvbwD4nl1cr98","Life to Lifeless","Killswitch Engage","Alive or Just Breathing (Topshelf Edition)","1","5","197093","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:4l7lRKayuqTFT5tbYxQAZg","Just Barely Breathing","Killswitch Engage","Alive or Just Breathing (Topshelf Edition)","1","6","342133","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:5M4V45fWkpBq9ELxkG7Tnz","The Element of One","Killswitch Engage","Alive or Just Breathing (Topshelf Edition)","1","9","248733","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:79SJcJOUFhie4mnZEtPwQD","Rise Inside","Killswitch Engage","Alive or Just Breathing (Topshelf Edition)","1","12","356933","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:4rm2EjTyvQt7rq40jt1qi7","When the Balance Is Broken","Killswitch Engage","Alive or Just Breathing (Topshelf Edition)","1","14","275133","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:75QGpY5Eb8yq7GMebens4g","Untitled and Unloved","Killswitch Engage","Alive or Just Breathing (Topshelf Edition)","1","15","200640","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:3vC5p2qStdb9w6m2p0jIxB","Daylight Dies","Killswitch Engage","As Daylight Dies","1","1","245800","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:53ZwCHcVQ5hOk4wFNDgmzn","This is Absolution","Killswitch Engage","As Daylight Dies","1","2","214360","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:2ODBkoccYc3grlUClEMS1m","The Arms of Sorrow","Killswitch Engage","As Daylight Dies","1","3","224120","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:7EewNrfQvHICMv4BRK0ttU","Unbroken","Killswitch Engage","As Daylight Dies","1","4","188733","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:5fodi5z7BngUgku13WtF81","My Curse","Killswitch Engage","As Daylight Dies","1","5","244773","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:3nKEShXOr902sQp5oP7XVO","For You","Killswitch Engage","As Daylight Dies","1","6","243213","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:69I6bw8HEZwHpQveSThANM","Still Beats Your Name","Killswitch Engage","As Daylight Dies","1","7","199693","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:5ZFhU4lqPIjmrDRkVPGFZt","Eye of the Storm","Killswitch Engage","As Daylight Dies","1","8","236013","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:01y62W25Na3Q9OWOQx7tky","Break the Silence","Killswitch Engage","As Daylight Dies","1","9","272106","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:7FCjT6HbLGpumwQj10uCup","Desperate Times","Killswitch Engage","As Daylight Dies","1","10","265573","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:2ZIYvpDFpVt9eapUnUVq0h","Reject Yourself","Killswitch Engage","As Daylight Dies","1","11","285080","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:0CMiOvH9drrUDT8pOBD9bk","Be One","Killswitch Engage","As Daylight Dies (Special Edition)","1","12","211386","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:32ebJQC2dQyDvFAbiRYwdH","Let the Bridges Burn","Killswitch Engage","As Daylight Dies (Special Edition)","1","13","269066","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:07ceEXOyS7ghQkyCOycXwP","This Fire","Killswitch Engage","As Daylight Dies (Special Edition)","1","14","189666","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:3a9urnht8HvfFzPwd0ipx6","Holy Diver","Killswitch Engage","As Daylight Dies (Special Edition)","1","15","250253","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:3x1Nt4T8cvlBCJtlmKDRAV","My Obsession","Killswitch Engage","God of War: Blood & Metal","1","1","224760","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:5qAoknGvV7ICo72sxZj8Wy","Never Again","Killswitch Engage","Killswitch Engage","1","1","189200","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:3hOTzNEmxnqrS6MH4tV77F","Starting Over","Killswitch Engage","Killswitch Engage","1","2","231173","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:0v7h1ZzFYYhw71RVcau8Tl","The Forgotten","Killswitch Engage","Killswitch Engage","1","3","197680","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:2Ltp37uEoX4pZhL5mbBYvH","Reckoning","Killswitch Engage","Killswitch Engage","1","4","160960","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:2X7KCgXsZM9KOBABg9artU","The Return","Killswitch Engage","Killswitch Engage","1","5","268813","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:3NU6JXYU6LuiiH8JmKKC11","A Light in a Darkened World","Killswitch Engage","Killswitch Engage","1","6","170773","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:4Mni7R6Odk09rhzlCvuHLt","I Would Do Anything","Killswitch Engage","Killswitch Engage","1","8","202480","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:30XxKCCZ2DPpBB5OTFkV6g","Save Me","Killswitch Engage","Killswitch Engage","1","9","226573","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:4K3x7FJ5PU3k10yTq14bCs","Lost","Killswitch Engage","Killswitch Engage","1","10","225013","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:1COd9N4DavI6wZJPcCtxvS","This Is Goodbye","Killswitch Engage","Killswitch Engage","1","11","257213","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:1TbARtTYtshDYmXHMOUJuP","Temple From The Within - 2004 Remaster","Killswitch Engage","Killswitch Engage (Expanded Edition) [2004 Remaster]","1","1","247080","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:4bU2ak4Wjsjn4pF783qhdJ","Vide Infra - 2004 Remaster","Killswitch Engage","Killswitch Engage (Expanded Edition) [2004 Remaster]","1","2","212386","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:5YJQVsv01xVlQ5paIInfTS","Irresversal - 2004 Remaster","Killswitch Engage","Killswitch Engage (Expanded Edition) [2004 Remaster]","1","3","257893","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:3jekbLBJSH5mHSGxIZOKFC","Rusted Embrace - 2004 Remaster","Killswitch Engage","Killswitch Engage (Expanded Edition) [2004 Remaster]","1","4","269493","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:5sJjsBGS8MEWDHq5cFPyAf","Soilborn - 2004 Remaster","Killswitch Engage","Killswitch Engage (Expanded Edition) [2004 Remaster]","1","6","209973","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:15YenHw81vZttMg46E9ccS","Numb Sick Eyes - 2004 Remaster","Killswitch Engage","Killswitch Engage (Expanded Edition) [2004 Remaster]","1","7","218160","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:2DKh90JZ9XEw9of8eODt6x","In the Unblind - 2004 Remaster","Killswitch Engage","Killswitch Engage (Expanded Edition) [2004 Remaster]","1","8","177560","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:3SSng89sBMtu8dmuMH97mf","One Last Sunset - 2004 Remaster","Killswitch Engage","Killswitch Engage (Expanded Edition) [2004 Remaster]","1","9","229946","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:2fPlA2m2B0yecH8bVhUb1U","Take Me Away","Killswitch Engage","Killswitch Engage [Special Edition]","1","7","165880","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:3cHJYvIrkORIjTLM9m7ilb","In a Dead World","Killswitch Engage","Killswitch Engage [Special Edition]","1","12","254466","spotify:user:","2010-10-17T20:29:21Z"
"spotify:track:7K5cX3KCGcXBCidtYlBTjw","Bastard Chain","Soilwork","A Predator's Portrait","1","1","238560","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:0xhqMUpnTohSSSnul5O76Z","Like The Average Stalker","Soilwork","A Predator's Portrait","1","2","270400","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:5zYRBhxFngkzmbYSb8Pl5N","Needlefeast","Soilwork","A Predator's Portrait","1","3","244840","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:4pqZxik9VKx26769QT7yY4","Neurotica Rampage","Soilwork","A Predator's Portrait","1","4","283693","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:7zzw3gHoCvn8D4jmsZS9fP","The Analyst","Soilwork","A Predator's Portrait","1","5","280840","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:30SUy1UBwzEE38QHIk3VOX","Grand Failure Anthem","Soilwork","A Predator's Portrait","1","6","319240","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:7nL5RgWNPB7xIiAnZ5E7jk","Structure Divine","Soilwork","A Predator's Portrait","1","7","246493","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:453z5mHrTikld0K6b4Xda2","Shadowchild","Soilwork","A Predator's Portrait","1","8","278773","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:6FjwXjVFqCBSlUluytPyjL","Final Fatal Force","Soilwork","A Predator's Portrait","1","9","297733","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:2MaUeiTyJwnSr4VVZOIEqy","A Predator's Portrait","Soilwork","A Predator's Portrait","1","10","271426","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:1Pozrq3l1thUAXJsmH4n3Q","Final Fatal Force","Soilwork","A Predator's Portrait [RELOADED]","1","9","297733","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:3nOjMqWm9KININ5seBbOUx","Asylum Dance","Soilwork","A Predator's Portrait [RELOADED]","1","11","256186","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:38vzGLk9e9asKvjtDKz1ph","Stabbing The Drama","Soilwork","Alone In The Dark","1","5","272666","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:3MGa93YNKvndRTKje7rIQk","The Pittsburgh Syndrome","Soilwork","Exile","1","2","164493","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:6B7bmb8uhFfGijGyeDtTAA","Exile","Soilwork","Exile - New Version [Online Only]","1","1","227996","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:6S08HBELkZMCjJIWLYaguu","Rejection Role","Soilwork","Figure Number Five","1","1","214933","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:69QsgIj9uaa11bf0ettIgn","Overload","Soilwork","Figure Number Five","1","2","224066","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:75hSjdaxoxx7dTglSNogdj","Figure # 5","Soilwork","Figure Number Five","1","3","190293","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:66WgfbPKKHCTyDlaCqdVYB","Strangler","Soilwork","Figure Number Five","1","4","227600","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:6i9JWjjQn14SutiCvfV98w","Departure Plan","Soilwork","Figure Number Five","1","6","263733","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:7djXHDLx8x30vxLv6rQAJN","Cranking The Sirens","Soilwork","Figure Number Five","1","7","206973","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:6MXFV7JIRPJx9Bt8JJ3wPk","Brickwalker","Soilwork","Figure Number Five","1","8","224733","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:3LWe2LNTHVfcLzUE3an8jT","The Mindmaker","Soilwork","Figure Number Five","1","9","213560","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:78icKPnMK7IW9Qhnai1eHQ","Distortion Sleep","Soilwork","Figure Number Five","1","10","225906","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:2r867GB1Cj0mK32KYOSJKI","Downfall 24","Soilwork","Figure Number Five","1","11","237226","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:3fv5NksLZbGOZdwIEpoW61","Sick Heart River","Soilwork","Hi Five - Nuclear Blast Presents Modern Metal","1","2","250775","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:5GkajnpnkCF4WuqqGsYk1I","Light The Torch","Soilwork","Light The Torch","1","1","220133","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:757AIT3BdUztioQfEkJ2B5","Figure Number Five","Soilwork","Light The Torch","1","2","192613","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:4K1a4hXgcqFGwRoTtvRSq6","Follow The Hollow","Soilwork","Natural Born Chaos","1","1","240693","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:6uCNPKVAKkG1M4UH77fu18","As We Speak","Soilwork","Natural Born Chaos","1","2","221266","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:2igZ0H7LHNRBwax6a9D5eu","The Flameout","Soilwork","Natural Born Chaos","1","3","258240","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:3CWEkjQxXvSd6A0ON9hcpS","Natural Born Chaos","Soilwork","Natural Born Chaos","1","4","247760","spotify:user:","2010-10-17T20:30:06Z"
"spotify:track:7jYqNHeMmi9OyJAWkjFCm8","Mindfields","Soilwork","Natural Born Chaos","1","5","208333","spotify:user:","2010-10-17T20:30:06Z"
